stock_locate,tracking_number,timestamp,shares,cross_price,match_number,cross_type
8716,1,0 days 09:30:00.614355078,0,0,115402,0
2705,2,0 days 09:30:00.614416268,110,1790,115404,0
3477,3,0 days 09:30:00.614514312,4812,153800,115408,0
8321,2,0 days 09:30:00.614671411,26679,25400,115412,0
2835,1,0 days 09:30:00.614811265,1666,354800,115418,0
6660,1,0 days 09:30:00.614932863,1535,30900,115421,0
3325,1,0 days 09:30:00.615001301,0,0,115424,0
595,2,0 days 09:30:00.615135267,11069,47100,115426,0
7327,3,0 days 09:30:00.615145405,7774,1401200,115430,0
3782,1,0 days 09:30:00.615276639,3809,162600,115434,0
8323,1,0 days 09:30:00.615530256,0,0,115438,0
3615,1,0 days 09:30:00.615723365,0,0,115439,0
100,1,0 days 09:30:00.615812020,0,0,115440,0
1380,1,0 days 09:30:00.615895721,589,379900,115441,0
265,1,0 days 09:30:00.615974807,264,231200,115456,0
1233,1,0 days 09:30:00.616014302,0,0,115458,0
4535,1,0 days 09:30:00.616055889,0,0,115460,0
6178,1,0 days 09:30:00.616128192,0,0,115461,0
3920,1,0 days 09:30:00.616372279,16305,1213400,115462,0
5215,1,0 days 09:30:00.616597483,142,364600,115465,0
4704,2,0 days 09:30:00.616769212,2653,128800,115470,0
5582,3,0 days 09:30:00.616770784,222,24000,115473,0
3342,1,0 days 09:30:00.616876770,0,0,115494,0
5887,1,0 days 09:30:00.616948181,0,0,115495,0
6787,1,0 days 09:30:00.616996950,0,0,115496,0
4486,1,0 days 09:30:00.617045520,0,0,115498,0
273,1,0 days 09:30:00.617083053,0,0,115499,0
949,1,0 days 09:30:00.617156580,140,412700,115500,0
2507,1,0 days 09:30:00.617232407,0,0,115503,0
7959,1,0 days 09:30:00.617311700,0,0,115504,0
4497,1,0 days 09:30:00.617372799,0,0,115509,0
5719,1,0 days 09:30:00.617454958,0,0,115510,0
5607,1,0 days 09:30:00.617502611,0,0,115511,0
3820,2,0 days 09:30:00.617551025,3949,9600,115513,0
3458,14,0 days 09:30:00.617875334,13777,13500000,115529,0
6843,1,0 days 09:30:00.618533886,0,0,115530,0
3676,2,0 days 09:30:00.618633359,4798,88900,115541,0
2985,1,0 days 09:30:00.619617995,0,0,115588,0
5858,1,0 days 09:30:00.620121502,2053,3511300,115625,0
6290,1,0 days 09:30:00.620150025,0,0,115626,0
510,1,0 days 09:30:00.620427367,0,0,115629,0
3655,1,0 days 09:30:00.620503039,0,0,115630,0
1062,1,0 days 09:30:00.620545872,0,0,115631,0
3463,1,0 days 09:30:00.620596748,0,0,115632,0
1531,1,0 days 09:30:00.620658540,0,0,115633,0
4055,1,0 days 09:30:00.620704760,0,0,115634,0
8435,1,0 days 09:30:00.620762065,0,0,115635,0
2131,1,0 days 09:30:00.620829998,0,0,115636,0
7149,1,0 days 09:30:00.620883726,0,0,115637,0
7617,1,0 days 09:30:00.620920433,0,0,115638,0
6804,1,0 days 09:30:00.620957134,0,0,115639,0
6714,1,0 days 09:30:00.621009231,0,0,115641,0
1859,1,0 days 09:30:00.621073448,0,0,115642,0
3943,1,0 days 09:30:00.621093851,1071,750400,115643,0
8006,1,0 days 09:30:00.621186361,1612,262100,115649,0
5432,2,0 days 09:30:00.621256273,287,62000,115654,0
7222,1,0 days 09:30:00.621332233,0,0,115658,0
412,1,0 days 09:30:00.621419895,875,529000,115660,0
1941,1,0 days 09:30:00.621480113,0,0,115664,0
3062,1,0 days 09:30:00.621501793,0,0,115665,0
5137,1,0 days 09:30:00.621549352,223,83900,115667,0
5650,2,0 days 09:30:00.621626483,502,52100,115671,0
8826,2,0 days 09:30:00.621722941,1155,315000,115675,0
4886,1,0 days 09:30:00.621782130,2,153500,115678,0
4866,1,0 days 09:30:00.621843738,0,0,115682,0
4785,1,0 days 09:30:00.621879325,0,0,115683,0
6534,1,0 days 09:30:00.621920599,3239,94500,115684,0
7177,1,0 days 09:30:00.622006682,0,0,115688,0
1485,1,0 days 09:30:00.622080494,0,0,115689,0
3575,1,0 days 09:30:00.622146714,0,0,115690,0
4143,1,0 days 09:30:00.622220764,0,0,115691,0
1502,1,0 days 09:30:00.622323686,15424,158300,115699,0
8451,1,0 days 09:30:00.622410526,1257,783800,115702,0
8483,1,0 days 09:30:00.622553099,10248,492000,115705,0
2753,1,0 days 09:30:00.622642658,0,0,115708,0
6750,1,0 days 09:30:00.622696358,0,0,115721,0
6062,1,0 days 09:30:00.622836931,0,0,115722,0
2370,1,0 days 09:30:00.623223553,0,0,115742,0
1479,1,0 days 09:30:00.623560941,0,0,115744,0
3372,2,0 days 09:30:00.623783493,19,263200,115746,0
8174,1,0 days 09:30:00.624023369,0,0,115750,0
4532,1,0 days 09:30:00.624197326,0,0,115751,0
1059,1,0 days 09:30:00.624388941,0,0,115752,0
4205,1,0 days 09:30:00.624648064,596,724300,115753,0
3275,1,0 days 09:30:00.624815927,0,0,115758,0
3341,1,0 days 09:30:00.625043725,1405,77800,115760,0
